Région,Type de protection,Année de protection,Commune,Appellation courante
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2013,Bourg-en-Bresse,Chapelle Sainte-Madeleine
Rhône-Alpes (Auvergne-Rhône-Alpes),I,1993,Miribel,Carillon du Mas Rillier
Rhône-Alpes (Auvergne-Rhône-Alpes),I&C,1988,Oyonnax,"Usine électrique la Grande Vapeur, actuellement musée du Peigne"
Picardie (Hauts-De-France),C,1921,Bosmont-sur-Serre,Ancien abri allemand dit du Kaiser
Picardie (Hauts-De-France),I,1999,Bouconville-Vauclair,Réseau de tranchées
Picardie (Hauts-De-France),C,1995,Buire,Tour Florentine
Picardie (Hauts-De-France),I,2007,Ciry-Salsogne,Eglise
Picardie (Hauts-De-France),C,1922,Coucy-le-Château-Auffrique,Plate-forme de la pièce allemande
Picardie (Hauts-De-France),C,1922,Crépy,Plate-forme d'artillerie (emplacement du canon allemand dit la Grosse Bertha)
Picardie (Hauts-De-France),I&C,1997,Fresnoy-le-Grand,Usine textile La Filandière
Picardie (Hauts-De-France),I,2007,Limé,Eglise
Picardie (Hauts-De-France),C,1997,Martigny-Courpierre,Eglise Saint-Martin
Picardie (Hauts-De-France),I,2001,Monthenault,Eglise Saint-Martin
Picardie (Hauts-De-France),I,1990,Nouvron-Vingré,Monument de la Croix-Brisée
Picardie (Hauts-De-France),I,2003,Saint-Quentin,Gare
Picardie (Hauts-De-France),C,2001,Soissons,Monument à l'oeuvre des sociétés coopératives de reconstruction des régions libérées et à la mémoire de Guy de Lubersac
Picardie (Hauts-De-France),I,2008,Soissons,Salle des Feuillants
Picardie (Hauts-De-France),I,1994,Vendhuile,Eglise Saint-Martin
Auvergne (Auvergne-Rhône-Alpes),I,1991,Vichy,Eglise Saint-Blaise et Notre-Dame-des-Malades
Auvergne (Auvergne-Rhône-Alpes),I,1991,Vichy,Immeuble
Auvergne (Auvergne-Rhône-Alpes),I,1991,Vichy,Immeuble
Auvergne (Auvergne-Rhône-Alpes),I,2000,Vichy,"Petit casino, actuellement centre culturel Valéry Larbaud"
Provence-Alpes-Côte d'Azur,I,1989,Antibes,Villa André-Bloc
Provence-Alpes-Côte d'Azur,I,1989,Cannes,Hôtel Carlton
Provence-Alpes-Côte d'Azur,I,1994,Cannes,Villa Romée
Provence-Alpes-Côte d'Azur,I,1990,Menton,Villa Tempe a Pailla
Provence-Alpes-Côte d'Azur,C,1987,Nice,Cathédrale orthodoxe Saint-Nicolas et chapelle du tsarévitch Nicolas Alexandrovitch
Provence-Alpes-Côte d'Azur,I,2001,Nice,Eglise Notre-Dame-Auxiliatrice
Provence-Alpes-Côte d'Azur,C,1992,Nice,Eglise Sainte-Jeanne d'Arc
Provence-Alpes-Côte d'Azur,C,2003,Nice,Immeuble de l'Hôtel Negresco
Provence-Alpes-Côte d'Azur,I,1989,Nice,Immeuble Gloria Mansions
Provence-Alpes-Côte d'Azur,I,2001,Nice,Immeuble La Rotonde
Provence-Alpes-Côte d'Azur,C,1989,Nice,Palais de la Méditerranée
Provence-Alpes-Côte d'Azur,I,1943,Nice,"Villa Arson, Ecole nationale supérieure d'art et Centre national d'art contemporain"
Provence-Alpes-Côte d'Azur,C,2000,Roquebrune-Cap-Martin,Villa E 1027 d'Eileen Gray
Provence-Alpes-Côte d'Azur,C,2001,Saint-Jean-Cap-Ferrat,maison dite Villa La Ligne Droite
Provence-Alpes-Côte d'Azur,I,1998,Tourrettes-sur-Loup,Maison du Rouréou
Provence-Alpes-Côte d'Azur,I,1965,Vence,"Chapelle des Dominicaines, dite aussi chapelle du Rosaire"
Provence-Alpes-Côte d'Azur,I,2001,Vence,Ecole Freinet
Rhône-Alpes (Auvergne-Rhône-Alpes),I,2010,Labeaume,"Maison Unal, au hameau de Chapias"
Champagne-Ardenne (Grand-Est),I,2012,Charleville-Mézières,"Ancienne usine métallurgique "" La Macérienne """
Champagne-Ardenne (Grand-Est),I,1996,Charleville-Mézières,Anciens bains-douches de Charleville
Champagne-Ardenne (Grand-Est),I,1980,Ferté-sur-Chiers (La),"Fortifications de la ligne Maginot dites ""Ouvrage de la Ferté"" (également sur commune de Villy)"
Champagne-Ardenne (Grand-Est),C,1922,Semide,Plate-forme d'artillerie
Champagne-Ardenne (Grand-Est),I,1980,Villy,"Fortifications de la ligne Maginot dites ""Ouvrages de la Ferté"" £"
Champagne-Ardenne (Grand-Est),I,2010,Fontaine-les-Grès,Eglise Sainte-Agnès
Champagne-Ardenne (Grand-Est),I,2007,Sainte-Savine,Ancien hôtel de ville
