"Région","Département","Commune","Référence"
"Grand-Est","Bas-rhin","Hunspach","PA00085308"
"Grand-Est","Bas-rhin","Hunspach ; Ingolsheim","PA00085309"
"Grand-Est","Haut-rhin","Lapoutroie","PA00085502"
"Grand-Est","Haut-rhin","Mulhouse","PA00085759"
"Grand-Est","Haut-rhin","Mulhouse","PA68000047"
"Grand-Est","Haut-rhin","Neuf-Brisach","PA00085565"
"Grand-Est","Bas-rhin","Rhinau","PA67000084"
"Grand-Est","Bas-rhin","Seltz","PA67000069"
"Grand-Est","Bas-rhin","Strasbourg","PA00085313"
"Grand-Est","Bas-rhin","Strasbourg","PA67000045"
"Grand-Est","Bas-rhin","Strasbourg","PA67000046"
"Grand-Est","Bas-rhin","Strasbourg","PA67000064"
"Grand-Est","Bas-rhin","Strasbourg","PA67000073"
"Grand-Est","Bas-rhin","Strasbourg","PA00085196"
"Nouvelle-Aquitaine","Lot-et-garonne","Agen","PA00084055"
"Nouvelle-Aquitaine","Lot-et-garonne","Agen","PA47000042"
"Nouvelle-Aquitaine","Landes","Amou","PA40000062"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Arcangues","PA64000001"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Ascain","PA64000037"
"Nouvelle-Aquitaine","Landes","Bascons","PA40000063"
"Nouvelle-Aquitaine","Gironde","Bègles","PA00083900"
"Nouvelle-Aquitaine","Dordogne","Bergerac","PA24000065"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Biarritz","PA00084559"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Biarritz","PA00125254"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Biarritz","PA00084543"
"Nouvelle-Aquitaine","Gironde","Bordeaux","PA00083158"
"Nouvelle-Aquitaine","Gironde","Bordeaux","PA33000174"
"Nouvelle-Aquitaine","Gironde","Bordeaux","PA33000175"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Ciboure","PA00125258"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Ciboure","PA00084577"
"Nouvelle-Aquitaine","Pyrenees-atlantiques","Ciboure","PA00084560"
"Nouvelle-Aquitaine","Landes","Dax","PA00083937"
"Nouvelle-Aquitaine","Landes","Dax","PA00084027"
"Nouvelle-Aquitaine","Gironde","Floirac","PA33000068"
"Nouvelle-Aquitaine","Gironde","Langoiran","PA33000065"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083876"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083877"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083878"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083879"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083881"
"Nouvelle-Aquitaine","Gironde","Lège-Cap-Ferret","PA00083882"
